iteration,path,iteration-dt,refine-dt,build-dt,upwards-dt,solve-dt,l1-error,lI-error
52,021033,      3.61517617,      1.63746800,      0.00000000,      1.11552838,      0.86217738,  1.11859034e-04,  2.90739392e-04
53,031312,      3.62916908,      1.63225675,      0.00000000,      1.12539112,      0.87152046,  1.11890871e-04,  2.90972032e-04
54,000223,      3.60594125,      1.62931750,      0.00000000,      1.11336375,      0.86325950,  1.11910596e-04,  2.90442926e-04
55,022310,      3.62232692,      1.63613171,      0.00000000,      1.12222717,      0.86396750,  1.11818292e-04,  2.89556921e-04
56,032303,      3.61559762,      1.63084433,      0.00000000,      1.12159462,      0.86315821,  1.11865763e-04,  2.89691822e-04
57,000313,      3.61630538,      1.63347546,      0.00000000,      1.11946917,      0.86336042,  1.11947319e-04,  2.90695915e-04
58,001223,      3.62511458,      1.63790529,      0.00000000,      1.12416754,      0.86304108,  1.11675245e-04,  2.88304214e-04
59,012222,      3.62080083,      1.63253713,      0.00000000,      1.12422779,      0.86403525,  1.11789491e-04,  2.87874163e-04
60,021220,      3.61690446,      1.63134404,      0.00000000,      1.12020125,      0.86535838,  1.11830353e-04,  2.88549910e-04
61,021320,      3.64230258,      1.64113854,      0.00000000,      1.13687771,      0.86428562,  1.11622499e-04,  2.93973376e-04
62,0113210,      3.64273575,      1.65115458,      0.00000000,      1.12752587,      0.86405467,  1.11628014e-04,  2.93972254e-04
63,021321,      3.61813404,      1.63420717,      0.00000000,      1.11640829,      0.86751804,  1.11416995e-04,  2.98789554e-04
64,021312,      3.62618742,      1.63068433,      0.00000000,      1.13087433,      0.86462817,  1.11559075e-04,  3.01390534e-04
65,030230,      3.61872675,      1.63300779,      0.00000000,      1.12027604,      0.86544217,  1.11609250e-04,  3.01297550e-04
66,010320,      3.61968638,      1.63105833,      0.00000000,      1.12322125,      0.86540358,  1.11712688e-04,  3.01336515e-04
67,032022,      3.62944542,      1.63248596,      0.00000000,      1.13168896,      0.86526979,  1.11682702e-04,  2.99828799e-04
68,0332321,      3.63391708,      1.63937875,      0.00000000,      1.12330138,      0.87123650,  1.11688385e-04,  2.99836414e-04
69,03323212,      3.65210421,      1.64775079,      0.00000000,      1.12979767,      0.87455446,  1.11688669e-04,  2.99836941e-04
70,031313,      3.64409700,      1.63720700,      0.00000000,      1.13912558,      0.86776379,  1.11687141e-04,  3.00090608e-04
71,0033030,      3.64634071,      1.63949592,      0.00000000,      1.13912813,      0.86771592,  1.11704726e-04,  3.00378679e-04
72,0010212,      3.66053237,      1.64900217,      0.00000000,      1.13628062,      0.87524904,  1.11705053e-04,  3.00366812e-04
73,033303,      3.63153921,      1.63143750,      0.00000000,      1.13261396,      0.86748750,  1.11642334e-04,  3.00349365e-04
74,013130,      3.64534071,      1.63251067,      0.00000000,      1.14056596,      0.87226337,  1.11736403e-04,  3.00458509e-04
75,032202,      3.65877829,      1.64454329,      0.00000000,      1.14309488,      0.87113962,  1.11717060e-04,  3.00121779e-04
76,032032,      3.64857775,      1.63276746,      0.00000000,      1.14423462,      0.87157529,  1.11525929e-04,  2.98603265e-04
77,003112,      3.64623138,      1.63279417,      0.00000000,      1.14320596,      0.87023067,  1.11584930e-04,  2.98134279e-04
78,010223,      3.67106492,      1.66278900,      0.00000000,      1.13479950,      0.87347571,  1.11237632e-04,  2.96832183e-04
79,0320221,      3.65242683,      1.64162721,      0.00000000,      1.14179162,      0.86900754,  1.11249047e-04,  2.96728359e-04
80,0311322,      3.66043425,      1.64359129,      0.00000000,      1.14483413,      0.87200808,  1.11258166e-04,  2.96732419e-04
81,013213,      3.66431833,      1.63942204,      0.00000000,      1.15024679,      0.87464650,  1.11302968e-04,  2.96644783e-04
82,032131,      3.64477783,      1.63188913,      0.00000000,      1.14050487,      0.87238325,  1.11295939e-04,  2.96757515e-04
83,0002200,      3.66360117,      1.64044838,      0.00000000,      1.15135304,      0.87179929,  1.11299337e-04,  2.96732774e-04
84,033122,      3.65723371,      1.63319862,      0.00000000,      1.15151429,      0.87252008,  1.11158559e-04,  2.96425608e-04
85,013300,      3.66393342,      1.63401138,      0.00000000,      1.15743087,      0.87249050,  1.11190910e-04,  2.96340869e-04
86,0100320,      3.68409275,      1.64991125,      0.00000000,      1.15834979,      0.87583092,  1.11190932e-04,  2.96337779e-04
87,0002232,      3.66992787,      1.64189954,      0.00000000,      1.15664725,      0.87138004,  1.11195618e-04,  2.96296404e-04
88,020132,      3.69035075,      1.62907271,      0.00000000,      1.15829871,      0.90297871,  1.11160532e-04,  2.95463716e-04
89,021123,      3.66317925,      1.63240196,      0.00000000,      1.15680342,      0.87397325,  1.11221303e-04,  2.96228811e-04
90,012103,      3.66732679,      1.63716875,      0.00000000,      1.15606888,      0.87408783,  1.11329191e-04,  2.95971876e-04
91,010301,      3.68394546,      1.63183925,      0.00000000,      1.17529096,      0.87681462,  1.11355318e-04,  2.96613269e-04
92,01132100,      3.68095854,      1.64497829,      0.00000000,      1.16203983,      0.87393971,  1.11355777e-04,  2.96613192e-04
93,0231020,      3.68369908,      1.64307871,      0.00000000,      1.15919267,      0.88142700,  1.11360326e-04,  2.96711794e-04
94,001301,      3.69115150,      1.64038054,      0.00000000,      1.17561187,      0.87515854,  1.11182924e-04,  2.98075938e-04
95,0013012,      3.67552667,      1.63743425,      0.00000000,      1.16206575,      0.87602633,  1.11193754e-04,  2.98166940e-04
96,012233,      3.79495013,      1.69407696,      0.00000000,      1.19624142,      0.90463087,  1.11264708e-04,  2.97887762e-04
97,031332,      3.74847904,      1.68852763,      0.00000000,      1.18301833,      0.87693263,  1.11223818e-04,  2.98146439e-04
98,0033320,      3.69297821,      1.65103792,      0.00000000,      1.16333708,      0.87860208,  1.11238780e-04,  2.98361259e-04
99,003211,      3.68708325,      1.63289058,      0.00000000,      1.17771687,      0.87647525,  1.11345703e-04,  3.00875463e-04
