iteration,path,iteration-dt,refine-dt,build-dt,upwards-dt,solve-dt,l1-error,lI-error
52,021033,     11.91332183,      0.02005721,      9.90819746,      1.11597287,      0.86403217,  1.11859034e-04,  2.90739392e-04
53,031312,     11.94192683,      0.01998296,      9.91943833,      1.13334067,      0.86415533,  1.11890871e-04,  2.90972032e-04
54,000223,     11.97268788,      0.02084446,      9.92248496,      1.12022183,      0.90386217,  1.11910596e-04,  2.90442926e-04
55,022310,     11.99823033,      0.01988167,      9.99161004,      1.11595325,      0.86571892,  1.11818292e-04,  2.89556921e-04
56,032303,     12.02172071,      0.02006679,     10.00846896,      1.12271088,      0.86536508,  1.11865763e-04,  2.89691822e-04
57,000313,     12.13047067,      0.01994683,     10.10314413,      1.12397042,      0.87823854,  1.11947319e-04,  2.90695915e-04
58,001223,     12.13445908,      0.02085442,     10.07680171,      1.15299967,      0.87853050,  1.11675245e-04,  2.88304214e-04
59,012222,     12.12462000,      0.01994571,     10.09318458,      1.13724467,      0.86909558,  1.11789491e-04,  2.87874163e-04
60,021220,     12.18090779,      0.01985129,     10.15722875,      1.12809721,      0.87056692,  1.11830353e-04,  2.88549910e-04
61,021320,     12.17385117,      0.02040500,     10.14918383,      1.12932600,      0.86958633,  1.11622499e-04,  2.93973376e-04
62,0113210,     12.22861954,      0.01994850,     10.20602683,      1.12650479,      0.87092612,  1.11628014e-04,  2.93972254e-04
63,021321,     12.14860725,      0.02057050,     10.11727504,      1.13577071,      0.86968437,  1.11416995e-04,  2.98789554e-04
64,021312,     12.16058475,      0.01999792,     10.13105079,      1.13519296,      0.86909879,  1.11559075e-04,  3.01390534e-04
65,030230,     12.16645867,      0.01996563,     10.13834554,      1.13615987,      0.86674754,  1.11609250e-04,  3.01297550e-04
66,010320,     12.17339583,      0.02000987,     10.14292712,      1.13333233,      0.87188387,  1.11712688e-04,  3.01336515e-04
67,032022,     12.20315721,      0.01995900,     10.17178183,      1.13527917,      0.87086737,  1.11682702e-04,  2.99828799e-04
68,0332321,     12.26506058,      0.01989058,     10.23349846,      1.13697254,      0.86943525,  1.11688385e-04,  2.99836414e-04
69,03323212,     12.23345738,      0.02002708,     10.20351900,      1.13589217,      0.86870163,  1.11688669e-04,  2.99836941e-04
70,031313,     12.28841462,      0.01999525,     10.25296842,      1.13520858,      0.87485154,  1.11687141e-04,  3.00090608e-04
71,0033030,     12.43271558,      0.01988858,     10.37836242,      1.14932737,      0.87977917,  1.11704726e-04,  3.00378679e-04
72,0010212,     12.32014471,      0.02011954,     10.27334825,      1.14740396,      0.87391462,  1.11705053e-04,  3.00366812e-04
73,033303,     12.35604650,      0.02008271,     10.30847062,      1.14706417,      0.87505675,  1.11642334e-04,  3.00349365e-04
74,013130,     12.32512012,      0.02010067,     10.28751408,      1.14353537,      0.86857258,  1.11736403e-04,  3.00458509e-04
75,032202,     12.35203450,      0.02001063,     10.30619033,      1.14280679,      0.87758950,  1.11717060e-04,  3.00121779e-04
76,032032,     12.36599671,      0.02009096,     10.32410542,      1.13892558,      0.87745513,  1.11525929e-04,  2.98603265e-04
77,003112,     12.35812238,      0.02023575,     10.30262042,      1.15928867,      0.87052412,  1.11584930e-04,  2.98134279e-04
78,010223,     12.45413458,      0.02023842,     10.41142271,      1.14580029,      0.87117929,  1.11237632e-04,  2.96832183e-04
79,0320221,     12.41024521,      0.02001300,     10.36244275,      1.14970183,      0.87261621,  1.11249047e-04,  2.96728359e-04
80,0311322,     12.45203883,      0.02042021,     10.38703450,      1.16427392,      0.87479096,  1.11258166e-04,  2.96732419e-04
81,013213,     12.53245017,      0.02007204,     10.48069308,      1.14990717,      0.87625667,  1.11302968e-04,  2.96644783e-04
82,032131,     12.46691833,      0.02014767,     10.41316938,      1.15223779,      0.87583712,  1.11295939e-04,  2.96757515e-04
83,0002200,     12.53064375,      0.02024021,     10.47160379,      1.15547167,      0.87776042,  1.11299337e-04,  2.96732774e-04
84,033122,     12.72273271,      0.02027562,     10.65124204,      1.16910892,      0.87653713,  1.11158559e-04,  2.96425608e-04
85,013300,     12.78825108,      0.02012350,     10.71587817,      1.16983363,      0.87686087,  1.11190910e-04,  2.96340869e-04
86,0100320,     12.58357075,      0.02002642,     10.50652787,      1.16103613,      0.89040292,  1.11190932e-04,  2.96337779e-04
87,0002232,     12.63282858,      0.02034858,     10.55532783,      1.16765012,      0.88330179,  1.11195618e-04,  2.96296404e-04
88,020132,     12.65325313,      0.02011975,     10.57129292,      1.17548092,      0.88072050,  1.11160532e-04,  2.95463716e-04
89,021123,     12.68976417,      0.02025788,     10.62258308,      1.15988225,      0.88137446,  1.11221303e-04,  2.96228811e-04
90,012103,     12.73322742,      0.02031454,     10.65089546,      1.17919608,      0.87717563,  1.11329191e-04,  2.95971876e-04
91,010301,     12.67776929,      0.02023425,     10.59694096,      1.16614121,      0.88879933,  1.11355318e-04,  2.96613269e-04
92,01132100,     12.90813021,      0.02028962,     10.76284921,      1.21865933,      0.90061692,  1.11355777e-04,  2.96613192e-04
93,0231020,     12.78242871,      0.02086396,     10.69477437,      1.16637262,      0.89469658,  1.11360326e-04,  2.96711794e-04
94,001301,     12.71569217,      0.02018608,     10.63395792,      1.16572733,      0.88977538,  1.11182924e-04,  2.98075938e-04
95,0013012,     12.71559767,      0.02020329,     10.64211196,      1.17014683,      0.87737796,  1.11193754e-04,  2.98166940e-04
96,012233,     12.76406729,      0.02043900,     10.67455888,      1.17456467,      0.88852271,  1.11264708e-04,  2.97887762e-04
97,031332,     13.03951267,      0.02024583,     10.93045975,      1.19934467,      0.88366496,  1.11223818e-04,  2.98146439e-04
98,0033320,     12.76851479,      0.02011496,     10.69267079,      1.17080821,      0.87916371,  1.11238780e-04,  2.98361259e-04
99,003211,     12.82412567,      0.02017013,     10.73976237,      1.17636079,      0.88204163,  1.11345703e-04,  3.00875463e-04
